requirement,existing_artifact,file_path,status,reuse_or_rerun,reason
"Dataset audit (15 runs, 78377 rows, class counts, feature groups)",dataset_audit.json,outputs/dataset_audit.json,complete and reusable,reuse,Matches plan exactly; verified programmatically in baseline_verification.json
Feature-source map (relay/cyber grouping),newly built this audit,RTS_Paper/outputs/audit/feature_source_map.csv,complete and reusable,reuse,"Derived directly from raw CSV column names; 116 PMU (R1-R4) + 12 cyber/log confirmed"
Edge-visible feature definition,proposed in this audit,RTS_Paper/outputs/audit/feature_source_map.csv,partially complete,needs author confirmation,"Proposed: single relay's own 29 features (R1 or R2 or R3 or R4) = edge-visible; cyber/log features (control panel, Snort, relay logs) treated as substation-central. NOT YET CONFIRMED BY AUTHORS."
Random 70/30 split metrics (RF/XGB/CNN),metrics_naive.csv,outputs/metrics_naive.csv,complete and reusable,reuse,Exact match to plan's claimed table (3 decimals)
Random split pooled predictions,predictions_naive.csv,outputs/predictions_naive.csv,complete and reusable,reuse,Present; enables threshold/derived-metric recomputation without retraining
Run-aware LORO metrics (RF/XGB/CNN),per_fold_metrics.csv + metrics_groupkfold_macro.csv,outputs/per_fold_metrics.csv,complete and reusable,reuse,Exact match to plan's claimed table (3 decimals); fold-level file exists (15 folds x 3 models)
Run-aware pooled out-of-fold predictions,predictions_groupkfold.csv,outputs/predictions_groupkfold.csv,complete and reusable,reuse,"Present with fold_id/heldout_run columns; usable for threshold recomputation and SHAP-derived work without retraining"
Leakage evidence (duplicate/nearest-neighbor analysis),leakage_evidence.json,outputs/leakage_evidence.json,complete and reusable,reuse,Supports original paper's leakage claims; not required for RTC paper but available
Permutation + SHAP feature importance,feature_importance.csv,outputs/feature_importance.csv,complete but needs conversion,derive,"Computed only for the single best fold per model (rebuild_best_artifacts), not all 15 folds; SHAP columns present only if shap was installed when originally run -- verify shap_abs_* columns are populated before reusing for RTC SHAP-timing claims"
Fitted per-fold models (cached),NOT SAVED,N/A,missing,rerun,"run_all.py trains and discards models per fold (FittedModel objects held only in-memory via best_artifact dict for the single best fold); Phase B harness must persist all 15x model fold artifacts to support degradation/threshold/SHAP reuse without retraining"
Logistic Regression baseline,NOT IMPLEMENTED,N/A,missing,rerun,No LR fitter exists in src/run_all.py FITTERS dict
Compact MLP baseline,NOT IMPLEMENTED,N/A,missing,rerun,Only CNN (Conv1d) exists; no dense MLP baseline
Batch-size-1 latency benchmarking (P50/P95/P99/throughput/memory/model size),NOT IMPLEMENTED,N/A,missing,rerun,run_all.py times only full-batch train/inference for reporting mean training/inference time; no per-record batch-1 timing harness exists
Payload / bytes-per-record model,NOT IMPLEMENTED,N/A,missing,rerun,No payload computation code exists
Envelope verdicts (E1/E2/E3 vs latency),NOT IMPLEMENTED,N/A,missing,rerun,Depends on latency harness (must-run first)
Feature-budget experiments (128/64/32/16/PMU-only/cyber-log-only),NOT IMPLEMENTED,N/A,missing,rerun,No feature-subset config exists in current pipeline
Missingness robustness (5/10/20/30%),NOT IMPLEMENTED,N/A,missing,rerun,No test-time degradation transforms exist
Feature-group unavailability (Snort/control-panel/relay-log/relay-status/PMU groups),NOT IMPLEMENTED,N/A,missing,rerun,No test-time degradation transforms exist
Complete relay loss R1-R4,NOT IMPLEMENTED,N/A,missing,rerun,No test-time degradation transforms exist
Gaussian noise / quantization (P2),NOT IMPLEMENTED,N/A,missing,rerun,Not implemented; P2 tier, only if time remains
Threshold stability (5 rules),NOT IMPLEMENTED,N/A,missing,derive-after-B,"Current pipeline uses fixed 0.5 threshold only (evaluate_model: pred = prob >= 0.5); can be derived purely from saved probabilities in predictions_naive.csv / predictions_groupkfold.csv once per-fold probability arrays are confirmed complete -- but per-fold (not just pooled) probability arrays should be verified fold-by-fold"
SHAP overhead timing (RF+XGB),NOT IMPLEMENTED,N/A,missing,rerun,"feature_importance.csv has static SHAP values (if computed) but no timing measurements; and shap package not installed in current Python environment (see repository_inventory.json)"
Wilcoxon signed-rank + effect sizes (P1),NOT IMPLEMENTED,N/A,missing,rerun,No statistical testing code beyond bootstrap CI in build_delta_and_stats
Original paper figures (fig1-fig6 + supp PR curve),present,figures/*.png + *.pdf,complete and reusable,reuse,"Recolored to gray/blue palette in prior session (main branch); do not overwrite for RTC paper -- generate new RTC-specific figures under RTS_Paper/figures/"
Original paper LaTeX (complete, no placeholders),main.tex,paper_project/main.tex,complete and reusable,reuse (frozen),Original paper is finished; must not be modified per ground rules
RTC extension LaTeX draft (ieee_rtc_*.tex with resulttodo placeholders),NOT FOUND IN REPOSITORY,N/A,missing,cannot verify,"Neither ieee_rtc_scada_low_latency_draft.tex nor ieee_rtc_telemetry_budgets_draft.tex exists anywhere in the repository. The planning documents reference this file but it was never uploaded. Cannot extract \resulttodo{} placeholders until this file is provided."
Environment / dependency installation,requirements.txt declares xgboost/shap/torch,requirements.txt,partially complete,rerun (setup),"xgboost, shap, and torch are NOT installed in the current Python environment (only numpy/pandas/sklearn/matplotlib/seaborn/scipy present). Must install before Phase B can reproduce XGBoost/CNN or run SHAP timing."
