phrase,file,line,current_sentence,recommended_correction
robust,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,59,"\begin{abstract} Machine-learning-based intrusion detection in supervisory control and data acquisition (SCADA) systems is not only a classification problem; it is also a communication-budget problem. A detector must receive sufficient telemetry, complete record-level processing before the next operational decision point, and remain useful when measurements are missing or communication channels fail. We evaluate four lightweight detectors---Logistic Regression, Random Forest, XGBoost, and a compact multilayer perceptron---on the MSU/ORNL Power System Attack Dataset using leave-one-run-out evaluation across fifteen collection runs. We measure batch-size-one detector-pipeline latency, translate feature budgets into modeled payload bytes, test robustness to missing telemetry and relay-channel loss, and compare edge-visible with centrally aggregated telemetry conditions. Random splitting substantially overstated cross-run performance: Random Forest ROC-AUC decreased from 0.972 to 0.677 under run-aware evaluation. Logistic Regression, XGBoost, and the compact multilayer perceptron satisfied the 10~ms and 16.7~ms study reference budgets at P95, whereas Random Forest satisfied only the 100~ms operational budget. A training-fold-selected 16-feature configuration reduced modeled payload from 512 to 64 bytes per record while retaining competitive unseen-run discrimination. Central aggregation generally provided stronger discrimination than edge-visible telemetry, but relay loss could remove that advantage. The results show that low inference latency alone does not establish deployability: unseen-run discrimination, alert burden, telemetry availability, and placement must be evaluated jointly. \end{abstract}",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
robust,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,86,"We evaluate Logistic Regression, Random Forest, XGBoost, and a compact multilayer perceptron (MLP) under leave-one-run-out evaluation across fifteen source runs. We also retain a previously evaluated feature-space 1D-CNN as a diagnostic example showing that favorable F1 can coexist with nearly universal positive prediction; it is not included in the new latency, payload, placement, or robustness experiments.",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
robust,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,95,"\item \textbf{RQ2:} How does reducing the feature budget from 128 to 16 measurements affect modeled payload, processing latency, and unseen-run detection quality? \item \textbf{RQ3:} How robust are the detectors to missing telemetry, unavailable feature groups, and complete relay-channel loss? \item \textbf{RQ4:} When does centrally aggregated telemetry outperform edge-visible telemetry, and when does communication degradation remove that advantage?",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
improve,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,107,"\item A payload--latency--quality analysis showing that a training-fold-selected 16-feature configuration reduces modeled telemetry payload from 512 to 64 bytes per record while retaining competitive unseen-run discrimination. \item An edge-visible versus centrally aggregated telemetry study showing that central visibility generally improves discrimination, while relay loss and missing telemetry can reduce or eliminate that advantage. \end{itemize}",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
improve,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,344,"The 16-feature condition is the most useful payload result. It reduces modeled payload eightfold. For XGBoost, ROC-AUC changes from 0.702 to 0.708 while P95 latency decreases from 4.864 to 0.818~ms. The compact MLP also improves from 0.683 to 0.706. Random Forest improves to 0.721 but still fails B1 and narrowly fits B2. Logistic Regression loses discrimination under aggressive feature reduction. The result therefore supports a model-specific operating point rather than a universal claim that fewer features are always better.",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
robust,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,350,\subsection{Robustness to Missing Telemetry},Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
robust,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,354,\caption{Run-aware ROC-AUC under held-out-test availability degradation.} \label{tab:robustness} \centering,Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
robust,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,371,"\paperfigure{fig05_missing_telemetry_robustness.png}{1.00} {Run-aware F1 as random missingness increases from 0\% to 30\%, reported separately for each primary model with seed variability.}",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
because,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,443,"Three models satisfy the strict record-processing budgets, but all four exhibit substantial false-positive behavior on unseen runs. The central deployment constraint is therefore not simply compute latency. A detector can process records quickly and still be unusable because its score distributions do not transfer across runs.",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
improve,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,447,"For XGBoost and the compact MLP, the 16-feature condition reduces modeled payload from 512 to 64 bytes and improves or retains run-aware discrimination. This gives the paper a concrete communication-system design point: transmitting fewer, training-selected measurements can reduce payload and processing cost without forcing an accuracy loss. Because Logistic Regression does not show the same result, selection must be model-specific and fitted within each training fold.",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
because,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,447,"For XGBoost and the compact MLP, the 16-feature condition reduces modeled payload from 512 to 64 bytes and improves or retains run-aware discrimination. This gives the paper a concrete communication-system design point: transmitting fewer, training-selected measurements can reduce payload and processing cost without forcing an accuracy loss. Because Logistic Regression does not show the same result, selection must be model-specific and fitted within each training fold.",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
improve,/Users/digdarshansubedi/Documents/Paper Publications/Saudi Arabia Sustainable Energy - Cuber Security Paper/RTS_Paper/paper/ieee_rtc_telemetry_budgets_draft.tex,451,"Central aggregation consistently improves clean-condition discrimination because it provides broader physical visibility. Yet central performance depends on the aggregation path. Relay loss can reduce a central detector to or below the edge-visible condition. A practical architecture should therefore consider fallback features, local alarms, redundant channels, or confidence-aware abstention when central telemetry is incomplete.",Use cautious descriptive language: retained/had higher measured metric; avoid causal implication unless supported.
