line,raw,nearby_context,p_tier,status
156,"The four relay/PMU units (R1--R4) each contribute voltage magnitude and angle, current magnitude and angle, sequence components, frequency and frequency change,",\subsection{Feature Groups and Placement Visibility},P0,not yet run
185,"Per-record payload is modeled as $P = n_f \times b$ bytes, where $n_f$ is the transmitted feature count and $b$ the bytes per numeric field (4 for 32-bit float;",\subsection{Payload Model},P0,not yet run
210,"Latency is measured at batch size one with \texttt{time.perf\_counter\_ns()}, 500 warm-up and 5{,}000 timed iterations per model, fixed thread counts, identical",\subsection{Latency and Resource Measurement},P0,not yet run
250,Run-aware & Logistic Regression & \resulttodo{precision} & \resulttodo{recall} & \resulttodo{F1} & \resulttodo{FPR} & \resulttodo{AUC} \\,Run-aware & Feature-space CNN & $0.711\pm0.043$ & $0.998\pm0.006$ & $0.829\pm0.0,P0 (table row),not yet run
251,Run-aware & Compact MLP & \resulttodo{precision} & \resulttodo{recall} & \resulttodo{F1} & \resulttodo{FPR} & \resulttodo{AUC} \\,Run-aware & Logistic Regression & \resulttodo{precision} & \resulttodo{recall} &,P0 (table row),not yet run
267,Logistic Regression & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,\midrule,P0 (table row),not yet run
268,Random Forest & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Logistic Regression & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttod,P0 (table row),not yet run
269,XGBoost & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Random Forest & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & ,P0 (table row),not yet run
270,Compact MLP & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,XGBoost & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resul,P0 (table row),not yet run
271,Feature-space CNN & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Compact MLP & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \r,P0 (table row),not yet run
276,"\resulttodo{State which models satisfy E1/E2/E3 at P95, and the accuracy ranking among those that do.}",\end{table},P0,not yet run
291,128 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,\midrule,P0,not yet run
292,64 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,128 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0,not yet run
293,32 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,64 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0,not yet run
